ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,created_time,updated_time,ad_creative_bodies,status,effective_status,ad_active_status,is_active,body,title,caption,description,link_url,image_name,image_link,image_description,impressions_min,impressions_max,spend_min,spend_max,ad_url,publisher_platforms,languages
2621272778261944,70267159212,Lands' End,"🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥",,,,,,"['🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥']",,,,,,,,,,Women's Plus Size Anyweather Fleece Quarter Zip Pullover,,,0,0,0,0,https://www.facebook.com/ads/library/?id=2621272778261944,"facebook, instagram, audience_network, messenger",
1782649062478887,70267159212,Lands' End,"🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥",,,,,,"['🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥', '🧥‼️60% off outerwear = our BEST prices of the season on petite, plus and regular sizes‼️🧥']",,,,,,,,,,Women's Plus Size Anyweather Fleece Quarter Zip Pullover,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1782649062478887,"facebook, instagram, audience_network, messenger",en
896751645884726,70267159212,Lands' End,Shop Kids' Fleece Now 50% Off,,,,,,"[""Shop Kids' Fleece Now 50% Off""]",,,,,,,,,,Shop Kids' Fleece Now 50% Off,,,0,0,0,0,https://www.facebook.com/ads/library/?id=896751645884726,"facebook, instagram, audience_network, messenger",en
2216879258593479,70267159212,Lands' End,"Try our new Lands’ End jeans with a better fit, fabric, and comfort.",,,,,,"['Try our new Lands’ End jeans with a better fit, fabric, and comfort.']",,,,,,,,,,30% Off Full-Price Styles,,,50000,59999,600,699,https://www.facebook.com/ads/library/?id=2216879258593479,,
301789807278021,70267159212,Lands' End,"We’re delivering our commitment to quality and legendary customer service directly to Chimney Rock Crossing. We’ll be serving up snacks, exclusive giveaways and our latest fall styles at the Grand Opening Event for our new Lands’ End store on Saturday, September 15.",,,,,,"['We’re delivering our commitment to quality and legendary customer service directly to Chimney Rock Crossing. We’ll be serving up snacks, exclusive giveaways and our latest fall styles at the Grand Opening Event for our new Lands’ End store on Saturday, September 15.']",,,,,,,,,,Come visit our new store,,,600000,699999,3000,3499,https://www.facebook.com/ads/library/?id=301789807278021,,
