ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,created_time,updated_time,ad_creative_bodies,status,effective_status,ad_active_status,is_active,body,title,caption,description,link_url,image_name,image_link,image_description,impressions_min,impressions_max,spend_min,spend_max,ad_url,publisher_platforms,languages
564803512956978,612471195588500,Burrow,"🎥 A tiny film about my new gifted sofa from the team at @burrow. Watch with sound 🎧

Unlike those clunky contemporary sofas and sectionals that seem more like decorative props than comfy spots to relax, Mambo is a game-changer. Its elegant curves and strategically placed soft cushions ensure you get both style and comfort in one beautiful package. You won’t believe how inviting it is to sit on!

With Mambo, the choices are all yours. You can opt for high or low arms, select durable fabric or indulge in luxurious leather upholstery – it’s like creating your own custom masterpiece. The modular design gives you the freedom to arrange it the way you’ve always dreamed of.",,,,,,"['🎥 A tiny film about my new gifted sofa from the team at @burrow. Watch with sound 🎧\n\nUnlike those clunky contemporary sofas and sectionals that seem more like decorative props than comfy spots to relax, Mambo is a game-changer. Its elegant curves and strategically placed soft cushions ensure you get both style and comfort in one beautiful package. You won’t believe how inviting it is to sit on!\n\nWith Mambo, the choices are all yours. You can opt for high or low arms, select durable fabric or indulge in luxurious leather upholstery – it’s like creating your own custom masterpiece. The modular design gives you the freedom to arrange it the way you’ve always dreamed of.']",,,,,,,,,,,,,0,0,0,0,https://www.facebook.com/ads/library/?id=564803512956978,"facebook, instagram, audience_network, messenger",en
944918587689387,612471195588500,Burrow,"🎥 A tiny film about my new gifted sofa from the team at @burrow. Watch with sound 🎧

Unlike those clunky contemporary sofas and sectionals that seem more like decorative props than comfy spots to relax, Mambo is a game-changer. Its elegant curves and strategically placed soft cushions ensure you get both style and comfort in one beautiful package. You won’t believe how inviting it is to sit on!

With Mambo, the choices are all yours. You can opt for high or low arms, select durable fabric or indulge in luxurious leather upholstery – it’s like creating your own custom masterpiece. The modular design gives you the freedom to arrange it the way you’ve always dreamed of.",,,,,,"['🎥 A tiny film about my new gifted sofa from the team at @burrow. Watch with sound 🎧\n\nUnlike those clunky contemporary sofas and sectionals that seem more like decorative props than comfy spots to relax, Mambo is a game-changer. Its elegant curves and strategically placed soft cushions ensure you get both style and comfort in one beautiful package. You won’t believe how inviting it is to sit on!\n\nWith Mambo, the choices are all yours. You can opt for high or low arms, select durable fabric or indulge in luxurious leather upholstery – it’s like creating your own custom masterpiece. The modular design gives you the freedom to arrange it the way you’ve always dreamed of.']",,,,,,,,,,,,,0,0,0,0,https://www.facebook.com/ads/library/?id=944918587689387,"facebook, instagram, audience_network, messenger",en
1718662285562040,612471195588500,Burrow,"Who knew building furniture could be so relaxing?

Our Range 4-Piece Sectional styled and captured by @plantmanp",,,,,,['Who knew building furniture could be so relaxing?\n\nOur Range 4-Piece Sectional styled and captured by @plantmanp'],,,,,,,,,,Shop The Range Collection,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1718662285562040,"facebook, instagram, audience_network, messenger",en
