ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,ad_creative_bodies,ad_creative_links,ad_creative_link_titles,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_urls,ad_active_status,image_name,image_link,image_description,ad_url
791261725887317,2009466829272479,Savage X Fenty,"More Bras. More Savings.
Get 2 Bras for $29 + free shipping on orders $35+ when you become a New Xtra VIP Member!",,,,"['More Bras. More Savings.\nGet 2 Bras for $29 + free shipping on orders $35+ when you become a New Xtra VIP Member!', 'More Bras. More Savings.\nGet 2 Bras for $29 + free shipping on orders $35+ when you become a New Xtra VIP Member!']",,"['BACK IN STOCK', 'BACK IN STOCK']",,,,,BACK IN STOCK,,,https://www.facebook.com/ads/library/?id=791261725887317
231667197980055,2009466829272479,Savage X Fenty,"Shop now & get FREE SHIPPING!
Comfy, cute, SAVAGE.",,,,"['Shop now & get FREE SHIPPING!\nComfy, cute, SAVAGE.']",,['Tired of overpaying for bras?'],,,,,Tired of overpaying for bras?,,,https://www.facebook.com/ads/library/?id=231667197980055
2713018275433763,2009466829272479,Savage X Fenty,"Bundles you can't pass up!
🔥Must Click NOW to Get Lingerie Sets Starting At $19",,,,"[""Bundles you can't pass up!\n🔥Must Click NOW to Get Lingerie Sets Starting At $19""]",,"[""Thanks, It's Savage""]",,,,,"Thanks, It's Savage",,,https://www.facebook.com/ads/library/?id=2713018275433763
1377866892390636,2009466829272479,Savage X Fenty,"Valentine's Day Offer 💘
50% Off Sitewide starts now!",,,,"[""Valentine's Day Offer 💘\n50% Off Sitewide starts now!""]",,['Refresh your lingerie drawer!'],,,,,Refresh your lingerie drawer!,,,https://www.facebook.com/ads/library/?id=1377866892390636
1719526794845939,2009466829272479,Savage X Fenty,"The Last Chance To Save Sale
Don’t wait! Get 65% Off Sitewide while supplies last.",,,,['The Last Chance To Save Sale\nDon’t wait! Get 65% Off Sitewide while supplies last.'],,['Treat Your Selfie!'],,,,,Treat Your Selfie!,,,https://www.facebook.com/ads/library/?id=1719526794845939
