ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,created_time,updated_time,ad_creative_bodies,status,effective_status,ad_active_status,is_active,body,title,caption,description,link_url,image_name,image_link,image_description,impressions_min,impressions_max,spend_min,spend_max,ad_url,publisher_platforms,languages
1250532769501850,179450065439629,Chewy,"At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.",,,,,,"['At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1250532769501850,"facebook, instagram, audience_network, messenger",en
1085164859901282,179450065439629,Chewy,"At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.",,,,,,"['At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1085164859901282,"facebook, instagram, audience_network, messenger",en
1277426753412056,179450065439629,Chewy,"At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.",,,,,,"['At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.', 'At Chewy, save up to 40% this holiday season. The presents at the best prices for the best pets. Exclusions Apply.']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1277426753412056,"facebook, instagram, audience_network, messenger",en
1137639471373628,179450065439629,Chewy,"For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.",,,,,,"['For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.']",,,,,,,,,,"DreamBone DreamSticks Beef Chews Dog Treats, 15 count",,,0,0,0,0,https://www.facebook.com/ads/library/?id=1137639471373628,"facebook, instagram, audience_network, messenger",en
1235780820974210,179450065439629,Chewy,"For a limited time, save up to 40% on purr-worthy gifts, plus buy 3 and get the 4th free on festive toys and more",,,,,,"['For a limited time, save up to 40% on purr-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on purr-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on purr-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on purr-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on purr-worthy gifts, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, save up to 40% on purr-worthy gifts, plus buy 3 and get the 4th free on festive toys and more']",,,,,,,,,,Chewy,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1235780820974210,"facebook, instagram, audience_network, messenger",en
1210371473365289,179450065439629,Chewy,"For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more",,,,,,"['For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more']",,,,,,,,,,"DreamBone DreamSticks Beef Chews Dog Treats, 15 count",,,0,0,0,0,https://www.facebook.com/ads/library/?id=1210371473365289,"facebook, instagram, audience_network, messenger",en
1272328717238246,179450065439629,Chewy,Tantalizing textures and vibrant ingredients. Variety that keeps things endlessly interesting. Vet-developed for the nutrients dogs need and the flavors they crave.,,,,,,['Tantalizing textures and vibrant ingredients. Variety that keeps things endlessly interesting. Vet-developed for the nutrients dogs need and the flavors they crave.'],,,,,,,,,,Say Bye to Boring Dog Food,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1272328717238246,"facebook, instagram, audience_network, messenger",en
1132421384974151,179450065439629,Chewy,"For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.",,,,,,"['For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.']",,,,,,,,,,"K&H Pet Products EZ Mount Double Stack Kitty Sill Cat Window Perch, Gray",,,0,0,0,0,https://www.facebook.com/ads/library/?id=1132421384974151,"facebook, instagram, audience_network, messenger",en
559369893469296,179450065439629,Chewy,"For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.",,,,,,"['For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more. Exclusions Apply.']",,,,,,,,,,"K&H Pet Products EZ Mount Double Stack Kitty Sill Cat Window Perch, Gray",,,0,0,0,0,https://www.facebook.com/ads/library/?id=559369893469296,"facebook, instagram, audience_network, messenger",en
902878201948573,179450065439629,Chewy,"For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more",,,,,,"['For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more', 'For a limited time, shop early Black Friday and save up to 40%, plus buy 3 and get the 4th free on festive toys and more']",,,,,,,,,,"K&H Pet Products EZ Mount Double Stack Kitty Sill Cat Window Perch, Gray",,,0,0,0,0,https://www.facebook.com/ads/library/?id=902878201948573,"facebook, instagram, audience_network, messenger",en
