ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,ad_creative_bodies,ad_creative_links,ad_creative_link_titles,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_urls,ad_active_status,image_name,image_link,image_description,ad_url
447671316205567,95181800661,Levi's,"40% of all eligible 2020 voters will be young people. That’s a huge, and INFLUENTIAL number. Let’s break some voter turnout records this fall.  #VoteAboutIt.",,,,"['40% of all eligible 2020 voters will be young people. That’s a huge, and INFLUENTIAL number. Let’s break some voter turnout records this fall.  #VoteAboutIt.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=447671316205567
726766874596730,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=726766874596730
3375975342470101,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=3375975342470101
818903382245365,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=818903382245365
473597850239857,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=473597850239857
1247592452273792,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=1247592452273792
2699428850323638,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=2699428850323638
853564408741851,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=853564408741851
383081162733756,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=383081162733756
818079218964421,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=818079218964421
652151155447819,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=652151155447819
2518020918490940,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=2518020918490940
2821040278178143,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=2821040278178143
808833073206036,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=808833073206036
1427224724134919,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=1427224724134919
451432375818225,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=451432375818225
628530987815337,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=628530987815337
1284193145249460,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=1284193145249460
4611873898884226,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=4611873898884226
728527668008102,95181800661,Levi's,Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.,,,,['Sustainability has always been in our DNA. So has original style. A better planet is more than a trend.'],,,,,,,,,,https://www.facebook.com/ads/library/?id=728527668008102
677860392866851,95181800661,Levi's,Cast your promise. Cast your vote. #VoteAboutIt,,,,['Cast your promise. Cast your vote. #VoteAboutIt'],,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=677860392866851
827748351365253,95181800661,Levi's,"Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.",,,,"['Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=827748351365253
3671514949539603,95181800661,Levi's,"Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.",,,,"['Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=3671514949539603
2823591344552818,95181800661,Levi's,"40% of all eligible 2020 voters will be young people. That’s a huge, and INFLUENTIAL number. Let’s break some voter turnout records this fall. Get registered to #VoteAboutIt.",,,,"['40% of all eligible 2020 voters will be young people. That’s a huge, and INFLUENTIAL number. Let’s break some voter turnout records this fall. Get registered to #VoteAboutIt.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=2823591344552818
728776271043630,95181800661,Levi's,"40% of all eligible 2020 voters will be young people. That’s a huge, and INFLUENTIAL number. Let’s break some voter turnout records this fall. Get registered to #VoteAboutIt.",,,,"['40% of all eligible 2020 voters will be young people. That’s a huge, and INFLUENTIAL number. Let’s break some voter turnout records this fall. Get registered to #VoteAboutIt.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=728776271043630
1527826024067981,95181800661,Levi's,Cast your promise. Cast your vote. #VoteAboutIt,,,,['Cast your promise. Cast your vote. #VoteAboutIt'],,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=1527826024067981
1014303019086765,95181800661,Levi's,"Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.",,,,"['Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=1014303019086765
462476904711834,95181800661,Levi's,,,,,,,,,,,,,,,https://www.facebook.com/ads/library/?id=462476904711834
1688566807989924,95181800661,Levi's,Cast your promise. Cast your vote. #VoteAboutIt,,,,['Cast your promise. Cast your vote. #VoteAboutIt'],,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=1688566807989924
1013203019103778,95181800661,Levi's,Cast your promise. Cast your vote. #VoteAboutIt,,,,['Cast your promise. Cast your vote. #VoteAboutIt'],,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=1013203019103778
259911865378588,95181800661,Levi's,"Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.",,,,"['Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=259911865378588
335957664141824,95181800661,Levi's,,,,,,,,,,,,,,,https://www.facebook.com/ads/library/?id=335957664141824
3637512839632126,95181800661,Levi's,"Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.",,,,"['Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=3637512839632126
902565880274417,95181800661,Levi's,"40% of all eligible 2020 voters will be young people. That’s a huge, and INFLUENTIAL number. Let’s break some voter turnout records this fall. Get registered to #VoteAboutIt.",,,,"['40% of all eligible 2020 voters will be young people. That’s a huge, and INFLUENTIAL number. Let’s break some voter turnout records this fall. Get registered to #VoteAboutIt.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=902565880274417
1016809835460087,95181800661,Levi's,"Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.",,,,"['Speaking, posting, talking, and dreaming are vital. Don’t let those efforts stop there, though. Your vote is one of the most powerful ways you can drive the change you want to see.']",,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=1016809835460087
364340018050309,95181800661,Levi's,Cast your promise. Cast your vote. #VoteAboutIt,,,,['Cast your promise. Cast your vote. #VoteAboutIt'],,['Vote About It'],,,,,Vote About It,,,https://www.facebook.com/ads/library/?id=364340018050309
